 ,monkeys0 ,monkeys1 ,monkeys2 ,kids3 ,kids4 ,kids5 ,kids6 ,kids7 ,kids8 ,kids9 ,kids10 ,kids11 ,kids12 ,kids13 ,kids14 ,kids15 ,kids16 ,kids17 ,kids18 ,kids19 ,kids20 ,kids21 ,kids22 ,kids23 ,kids24 ,kids25 ,kids26 ,kids27 ,kids28 ,kids29 ,kids30 ,kids31 ,kids32 ,kids33 ,kids34 ,tsimane35 ,tsimane36 ,tsimane37 ,tsimane38 ,tsimane39 ,tsimane40 ,tsimane41 ,tsimane42 ,tsimane43 ,tsimane44 ,tsimane45 ,tsimane46 ,tsimane47 ,tsimane48 ,tsimane49 ,tsimane50 ,tsimane51 ,tsimane52 ,tsimane53 ,tsimane54 ,tsimane55 ,adults56 ,adults57 ,adults58 ,adults59 ,adults60 ,adults61 ,adults62
kids31,0.656496,0.025600,0.071301,0.011986,0.059489,0.017111,0.070027,0.032959,0.044193,0.019603,0.160513,0.034908,0.007367,0.021235,0.018407,0.013654,0.579572,0.192017,0.122549,0.026160,0.009454,0.076555,0.014916,0.056585,0.026689,0.052059,0.019044,0.029702,0.179915,0.019683,0.145425,0.000000,0.032457,0.048099,0.044316,0.015245,0.103431,0.014075,0.148755,0.031142,0.028080,0.152982,0.144499,0.161775,0.073269,0.005838,0.030706,0.146394,0.035893,0.023721,0.116882,0.116564,0.043262,0.024458,0.011795,0.040799,0.298446,0.174831,0.350569,0.394700,0.376534,0.173938,0.350559
kids32,0.780512,0.063679,0.176327,0.010409,0.113000,0.066578,0.147528,0.000308,0.092270,0.013237,0.252742,0.110452,0.035994,0.005829,0.090599,0.036093,0.679879,0.084468,0.205392,0.095905,0.026603,0.147149,0.080849,0.120752,0.094130,0.006026,0.075382,0.000289,0.276972,0.083108,0.250038,0.032457,0.000000,0.147766,0.001539,0.009114,0.180908,0.019182,0.249504,0.096573,0.099977,0.254658,0.240243,0.261226,0.166444,0.023367,0.067971,0.244771,0.086942,0.002051,0.199564,0.204323,0.089154,0.067071,0.052615,0.089265,0.427631,0.271191,0.492073,0.540962,0.521120,0.299247,0.490880
kids33,0.568102,0.073236,0.058246,0.088892,0.052428,0.025276,0.037532,0.149573,0.048109,0.097600,0.096791,0.016008,0.042540,0.112647,0.011412,0.056055,0.472550,0.414984,0.072405,0.021237,0.062270,0.080537,0.012113,0.041048,0.017969,0.192234,0.058924,0.140929,0.107150,0.019211,0.070135,0.048099,0.147766,0.000000,0.174857,0.094694,0.065690,0.078450,0.073593,0.018991,0.023201,0.077370,0.077104,0.088918,0.028008,0.057447,0.047374,0.077328,0.035439,0.126972,0.068784,0.064587,0.050511,0.039450,0.036616,0.046716,0.180590,0.104308,0.217864,0.250861,0.236681,0.074464,0.218284
kids34,0.800569,0.072598,0.194497,0.019325,0.139117,0.085546,0.177371,0.001771,0.115846,0.022683,0.290590,0.133288,0.050575,0.012577,0.111610,0.051414,0.706588,0.064635,0.239816,0.116374,0.039682,0.166165,0.101918,0.147504,0.114421,0.002023,0.087150,0.002139,0.316557,0.101984,0.288495,0.044316,0.001539,0.174857,0.000000,0.017107,0.213164,0.030534,0.288147,0.120666,0.122347,0.293137,0.277986,0.300099,0.196689,0.035881,0.088258,0.282751,0.110485,0.005237,0.233676,0.239048,0.112116,0.087669,0.070700,0.112225,0.476496,0.310101,0.544045,0.595358,0.574687,0.340933,0.542803
tsimane35,0.780108,0.059796,0.149325,0.001624,0.060243,0.030123,0.085156,0.009934,0.045065,0.001355,0.169312,0.073210,0.014805,0.001236,0.055279,0.009635,0.664633,0.146755,0.130475,0.062215,0.007246,0.114743,0.043359,0.064839,0.060597,0.027635,0.061397,0.008517,0.189263,0.051175,0.166592,0.015245,0.009114,0.094694,0.017107,0.000000,0.111185,0.002177,0.166284,0.049660,0.057783,0.169697,0.158676,0.175528,0.104586,0.006067,0.027927,0.162049,0.041513,0.007880,0.125859,0.129639,0.042719,0.028109,0.020088,0.042634,0.316087,0.183843,0.372022,0.414943,0.397587,0.206973,0.371135
tsimane36,0.952458,0.198172,0.214728,0.111648,0.008428,0.057867,0.004476,0.183700,0.015376,0.097328,0.006485,0.095367,0.087890,0.123381,0.080348,0.057931,0.772526,0.511469,0.001264,0.101354,0.084252,0.152818,0.059163,0.007623,0.097415,0.247903,0.166466,0.178348,0.010995,0.094990,0.008712,0.103431,0.180908,0.065690,0.213164,0.111185,0.000000,0.082940,0.007793,0.032563,0.056893,0.007836,0.005180,0.007874,0.032699,0.087929,0.028562,0.005771,0.020564,0.172225,0.000852,0.001678,0.016261,0.030197,0.048541,0.016641,0.053198,0.010056,0.076887,0.097501,0.088925,0.027367,0.076601
tsimane37,0.793643,0.065871,0.144869,0.003406,0.040029,0.021694,0.061159,0.020132,0.027677,0.001162,0.134094,0.063264,0.012005,0.004506,0.045893,0.003236,0.669365,0.182981,0.099983,0.054995,0.004618,0.103816,0.032583,0.044213,0.052121,0.044216,0.061712,0.018381,0.151989,0.043776,0.131739,0.014075,0.019182,0.078450,0.030534,0.002177,0.082940,0.000000,0.131894,0.034574,0.043425,0.135040,0.124826,0.139837,0.080632,0.004205,0.015232,0.127859,0.025462,0.017123,0.095901,0.098923,0.026068,0.015194,0.010689,0.026129,0.267465,0.147347,0.318886,0.358823,0.342591,0.169544,0.318108
tsimane38,0.939665,0.243154,0.240166,0.165570,0.027860,0.087040,0.015153,0.253051,0.040131,0.151014,0.003093,0.113599,0.125734,0.182469,0.103195,0.098247,0.746639,0.623559,0.003759,0.126044,0.129453,0.185224,0.083533,0.024848,0.120830,0.327687,0.211811,0.245545,0.003803,0.122234,0.002248,0.148755,0.249504,0.073593,0.288147,0.166284,0.007793,0.131894,0.000000,0.052351,0.082554,0.000489,0.000586,0.001302,0.041447,0.131892,0.058514,0.000965,0.043583,0.236703,0.004220,0.004134,0.042164,0.059610,0.082906,0.042283,0.028172,0.004383,0.046014,0.061682,0.054784,0.013079,0.045679
tsimane39,0.725393,0.086175,0.106754,0.046693,0.015695,0.009006,0.014205,0.097792,0.012707,0.047094,0.063455,0.021904,0.019260,0.060731,0.016621,0.017924,0.596729,0.348503,0.041547,0.023622,0.026182,0.085150,0.008425,0.011037,0.024120,0.141197,0.067173,0.093691,0.074828,0.022489,0.051173,0.031142,0.096573,0.018991,0.120666,0.049660,0.032563,0.034574,0.052351,0.000000,0.016693,0.055461,0.050825,0.062083,0.023663,0.027199,0.011051,0.052493,0.007027,0.083168,0.037870,0.036848,0.013323,0.008034,0.009380,0.011749,0.152223,0.070702,0.191142,0.223002,0.209231,0.064498,0.191195
tsimane40,0.703078,0.074533,0.077951,0.053153,0.038001,0.018507,0.033088,0.099071,0.026861,0.057382,0.094902,0.028310,0.031261,0.068805,0.022318,0.031718,0.596312,0.337103,0.068918,0.027585,0.031697,0.032096,0.014015,0.032322,0.015183,0.136367,0.038932,0.095376,0.107719,0.012712,0.071417,0.028080,0.099977,0.023201,0.122347,0.057783,0.056893,0.043425,0.082554,0.016693,0.000000,0.085666,0.079950,0.091995,0.013710,0.035299,0.028800,0.079758,0.019985,0.085107,0.065275,0.057819,0.032114,0.020851,0.015348,0.030317,0.192026,0.104712,0.232611,0.267791,0.252997,0.087899,0.233366
tsimane41,0.962583,0.251007,0.247521,0.170092,0.029517,0.089547,0.016418,0.258326,0.041713,0.154462,0.002413,0.120450,0.130970,0.186583,0.108907,0.101278,0.768459,0.631484,0.003570,0.131975,0.133441,0.189320,0.087995,0.025938,0.126463,0.333056,0.217739,0.250618,0.002881,0.127088,0.002406,0.152982,0.254658,0.077370,0.293137,0.169697,0.007836,0.135040,0.000489,0.055461,0.085666,0.000000,0.000810,0.000702,0.043383,0.136448,0.060216,0.000864,0.046111,0.242159,0.004327,0.004402,0.043552,0.062216,0.086063,0.043655,0.025638,0.003036,0.042735,0.058031,0.051492,0.012942,0.042473
tsimane42,0.967011,0.243262,0.244576,0.157947,0.024196,0.084092,0.013500,0.243333,0.035813,0.142864,0.001591,0.114635,0.122560,0.173739,0.103942,0.092588,0.773228,0.608768,0.001980,0.125274,0.122914,0.182356,0.082929,0.022103,0.121390,0.317197,0.208823,0.236889,0.002826,0.121730,0.002330,0.144499,0.240243,0.077104,0.277986,0.158676,0.005180,0.124826,0.000586,0.050825,0.079950,0.000810,0.000000,0.000706,0.041027,0.127297,0.053959,0.000237,0.040471,0.228261,0.002270,0.002321,0.037698,0.055670,0.078715,0.038077,0.028616,0.002900,0.047209,0.063311,0.056314,0.014287,0.046939
tsimane43,1.004503,0.266086,0.264812,0.175641,0.031072,0.097223,0.019133,0.264578,0.043882,0.158625,0.000854,0.131616,0.139777,0.191429,0.119611,0.106116,0.804950,0.641849,0.003486,0.142545,0.138964,0.197698,0.096838,0.028752,0.137911,0.341121,0.229179,0.257725,0.001050,0.138002,0.003045,0.161775,0.261226,0.088918,0.300099,0.175528,0.007874,0.139837,0.001302,0.062083,0.091995,0.000702,0.000706,0.000000,0.048340,0.143807,0.063910,0.000612,0.049936,0.249506,0.004306,0.004474,0.045799,0.066435,0.091629,0.046303,0.021352,0.001300,0.037641,0.052170,0.045970,0.014742,0.037392
tsimane44,0.766793,0.137821,0.124903,0.101981,0.032339,0.039516,0.019585,0.166546,0.028179,0.099526,0.052868,0.049906,0.066544,0.119498,0.047996,0.059734,0.622149,0.466622,0.037457,0.057809,0.069683,0.052627,0.034949,0.026186,0.037048,0.219281,0.095475,0.160754,0.059846,0.038159,0.030354,0.073269,0.166444,0.028008,0.196689,0.104586,0.032699,0.080632,0.041447,0.023663,0.013710,0.043383,0.041027,0.048340,0.000000,0.073902,0.039478,0.040606,0.023601,0.150186,0.036092,0.027526,0.035503,0.033323,0.037986,0.034570,0.117706,0.058787,0.148428,0.175051,0.163604,0.041116,0.149070
tsimane45,0.690141,0.040404,0.105902,0.005190,0.044414,0.016451,0.060077,0.024753,0.031944,0.007581,0.140700,0.043711,0.004070,0.010389,0.027143,0.004958,0.582086,0.188610,0.105101,0.036693,0.004215,0.093359,0.019627,0.045119,0.035169,0.047835,0.042259,0.021389,0.158751,0.029093,0.132490,0.005838,0.023367,0.057447,0.035881,0.006067,0.087929,0.004205,0.131892,0.027199,0.035299,0.136448,0.127297,0.143807,0.073902,0.000000,0.018710,0.130433,0.025230,0.017824,0.100454,0.102320,0.030597,0.015358,0.007600,0.029460,0.275417,0.155035,0.327243,0.368364,0.351344,0.167204,0.326514
tsimane46,0.821299,0.098622,0.150927,0.029044,0.006949,0.012670,0.016790,0.069787,0.002972,0.022582,0.060841,0.050846,0.020967,0.035473,0.036693,0.005849,0.673256,0.302266,0.038181,0.049189,0.017454,0.104805,0.020968,0.008467,0.046461,0.110680,0.085079,0.066128,0.072919,0.040964,0.059277,0.030706,0.067971,0.047374,0.088258,0.027927,0.028562,0.015232,0.058514,0.011051,0.028800,0.060216,0.053959,0.063910,0.039478,0.018710,0.000000,0.055971,0.002873,0.062079,0.035675,0.038092,0.002239,0.001390,0.006514,0.002302,0.157284,0.069278,0.197639,0.229330,0.216358,0.086288,0.197051
tsimane47,0.971200,0.245626,0.244044,0.160961,0.025998,0.084962,0.014199,0.247629,0.037393,0.146342,0.001932,0.116384,0.125747,0.177626,0.105474,0.095195,0.779701,0.615498,0.002461,0.125766,0.124924,0.182024,0.084332,0.023315,0.123081,0.321874,0.208763,0.241285,0.003063,0.123012,0.002230,0.146394,0.244771,0.077328,0.282751,0.162049,0.005771,0.127859,0.000965,0.052493,0.079758,0.000864,0.000237,0.000612,0.040606,0.130433,0.055971,0.000000,0.042156,0.232035,0.002744,0.002451,0.039405,0.057726,0.080483,0.039653,0.027282,0.002974,0.045641,0.061685,0.054817,0.013356,0.045482
tsimane48,0.786492,0.100452,0.137496,0.040978,0.004567,0.014345,0.008768,0.088637,0.001630,0.035466,0.048733,0.043851,0.025556,0.050504,0.031648,0.012610,0.637179,0.340924,0.028627,0.045077,0.024437,0.090671,0.017180,0.004592,0.038963,0.133915,0.083199,0.084160,0.059249,0.035825,0.042905,0.035893,0.086942,0.035439,0.110485,0.041513,0.020564,0.025462,0.043583,0.007027,0.019985,0.046111,0.040471,0.049936,0.023601,0.025230,0.002873,0.042156,0.000000,0.078531,0.026395,0.026438,0.002755,0.001790,0.007439,0.002588,0.136145,0.057231,0.173683,0.203635,0.191119,0.067634,0.173217
tsimane49,0.734804,0.050548,0.151819,0.006870,0.106650,0.053020,0.136537,0.001651,0.086120,0.013230,0.243394,0.089651,0.026385,0.006400,0.074096,0.031191,0.640868,0.093592,0.195932,0.074032,0.018672,0.130771,0.066861,0.112054,0.076605,0.009085,0.058704,0.001886,0.267225,0.066459,0.236640,0.023721,0.002051,0.126972,0.005237,0.007880,0.172225,0.017123,0.236703,0.083168,0.085107,0.242159,0.228261,0.249506,0.150186,0.017824,0.062079,0.232035,0.078531,0.000000,0.189641,0.193083,0.083590,0.060379,0.044324,0.083110,0.413692,0.260950,0.478396,0.527136,0.507227,0.279710,0.477483
tsimane50,0.957882,0.213534,0.226816,0.125778,0.012454,0.064684,0.006825,0.202390,0.021328,0.111361,0.003712,0.100023,0.098152,0.139035,0.087415,0.068310,0.771910,0.542523,0.000207,0.107735,0.096043,0.165143,0.066291,0.011712,0.104888,0.270139,0.181668,0.196815,0.007076,0.103284,0.005827,0.116882,0.199564,0.068784,0.233676,0.125859,0.000852,0.095901,0.004220,0.037870,0.065275,0.004327,0.002270,0.004306,0.036092,0.100454,0.035675,0.002744,0.026395,0.189641,0.000000,0.001036,0.022323,0.037999,0.058408,0.022795,0.043514,0.006154,0.065843,0.084812,0.076821,0.021336,0.065527
tsimane51,0.947119,0.212193,0.217699,0.128926,0.014559,0.064581,0.006522,0.206575,0.022206,0.115531,0.004756,0.096261,0.099239,0.143242,0.085773,0.071086,0.763356,0.549979,0.001248,0.104433,0.096875,0.148362,0.064966,0.012879,0.098391,0.274448,0.174980,0.201173,0.007959,0.097513,0.003240,0.116564,0.204323,0.064587,0.239048,0.129639,0.001678,0.098923,0.004134,0.036848,0.057819,0.004402,0.002321,0.004474,0.027526,0.102320,0.038092,0.002451,0.026438,0.193083,0.001036,0.000000,0.024661,0.038982,0.058042,0.025044,0.043426,0.007304,0.065505,0.084534,0.076432,0.017345,0.065414
tsimane52,0.860816,0.118436,0.162815,0.043473,0.001841,0.021518,0.009171,0.091314,0.000661,0.034531,0.042370,0.060625,0.033933,0.050618,0.043790,0.013228,0.707350,0.346106,0.024412,0.060523,0.029325,0.114984,0.026417,0.003318,0.058017,0.137725,0.100193,0.087381,0.052849,0.052778,0.043146,0.043262,0.089154,0.050511,0.112116,0.042719,0.016261,0.026068,0.042164,0.013323,0.032114,0.043552,0.037698,0.045799,0.035503,0.030597,0.002239,0.039405,0.002755,0.083590,0.022323,0.024661,0.000000,0.003280,0.011844,0.000154,0.127416,0.050159,0.163158,0.192413,0.180433,0.070067,0.162632
tsimane53,0.784235,0.085339,0.129498,0.027889,0.008163,0.011984,0.015805,0.068826,0.003304,0.023239,0.063927,0.043001,0.017505,0.035551,0.028006,0.005518,0.646279,0.300441,0.040868,0.042130,0.015896,0.091221,0.014489,0.008525,0.037792,0.108695,0.071082,0.064844,0.076401,0.033227,0.059234,0.024458,0.067071,0.039450,0.087669,0.028109,0.030197,0.015194,0.059610,0.008034,0.020851,0.062216,0.055670,0.066435,0.033323,0.015358,0.001390,0.057726,0.001790,0.060379,0.037999,0.038982,0.003280,0.000000,0.003029,0.002882,0.162380,0.073641,0.202462,0.235160,0.221590,0.086703,0.201996
tsimane54,0.736046,0.061383,0.103397,0.018485,0.020364,0.008501,0.027656,0.053645,0.011654,0.018292,0.089984,0.035001,0.009572,0.027209,0.020229,0.003901,0.617805,0.263311,0.062257,0.030194,0.007916,0.076133,0.009930,0.018764,0.028000,0.087143,0.047003,0.050234,0.104650,0.022869,0.081022,0.011795,0.052615,0.036616,0.070700,0.020088,0.048541,0.010689,0.082906,0.009380,0.015348,0.086063,0.078715,0.091629,0.037986,0.007600,0.006514,0.080483,0.007439,0.044324,0.058408,0.058042,0.011844,0.003029,0.000000,0.010686,0.200346,0.101298,0.244483,0.280811,0.265755,0.108649,0.244260
tsimane55,0.847805,0.113520,0.155057,0.043088,0.002307,0.019972,0.008571,0.091495,0.000997,0.034965,0.043268,0.057647,0.032448,0.050984,0.040205,0.012851,0.699227,0.346022,0.025034,0.056988,0.028621,0.113698,0.023749,0.002865,0.055637,0.137427,0.095576,0.087339,0.053900,0.050366,0.043369,0.040799,0.089265,0.046716,0.112225,0.042634,0.016641,0.026129,0.042283,0.011749,0.030317,0.043655,0.038077,0.046303,0.034570,0.029460,0.002302,0.039653,0.002588,0.083110,0.022795,0.025044,0.000154,0.002882,0.010686,0.000000,0.128610,0.051152,0.164336,0.193982,0.181856,0.069640,0.163871
adults56,1.216442,0.431685,0.406598,0.316133,0.101778,0.205147,0.080090,0.431553,0.124646,0.291623,0.023280,0.243126,0.268432,0.335810,0.232924,0.220508,0.981755,0.889782,0.040836,0.260093,0.266113,0.318737,0.204057,0.098692,0.256776,0.528882,0.378908,0.424016,0.016833,0.258828,0.030772,0.298446,0.427631,0.180590,0.476496,0.316087,0.053198,0.267465,0.028172,0.152223,0.192026,0.025638,0.028616,0.021352,0.117706,0.275417,0.157284,0.027282,0.136145,0.413692,0.043514,0.043426,0.127416,0.162380,0.200346,0.128610,0.000000,0.018285,0.002846,0.007253,0.005143,0.033508,0.002804
adults57,1.068120,0.289375,0.292359,0.184990,0.034726,0.106899,0.024799,0.274508,0.048805,0.165507,0.000840,0.145878,0.151077,0.199062,0.134680,0.113241,0.860294,0.656024,0.005178,0.157708,0.148658,0.214629,0.109553,0.033766,0.153434,0.352611,0.249321,0.268456,0.000682,0.152779,0.006184,0.174831,0.271191,0.104308,0.310101,0.183843,0.010056,0.147347,0.004383,0.070702,0.104712,0.003036,0.002900,0.001300,0.058787,0.155035,0.069278,0.002974,0.057231,0.260950,0.006154,0.007304,0.050159,0.073641,0.101298,0.051152,0.018285,0.000000,0.033451,0.046957,0.041195,0.016802,0.033229
adults58,1.288813,0.491179,0.454850,0.372758,0.134202,0.251785,0.108584,0.496740,0.160155,0.345123,0.039608,0.290031,0.320492,0.393180,0.277337,0.267573,1.047358,0.982136,0.062404,0.310191,0.319162,0.365054,0.246817,0.130234,0.304361,0.599953,0.434157,0.488089,0.031050,0.307139,0.048507,0.350569,0.492073,0.217864,0.544045,0.372022,0.076887,0.318886,0.046014,0.191142,0.232611,0.042735,0.047209,0.037641,0.148428,0.327243,0.197639,0.045641,0.173683,0.478396,0.065843,0.065505,0.163158,0.202462,0.244483,0.164336,0.002846,0.033451,0.000000,0.001426,0.000552,0.049925,0.000036
adults59,1.346298,0.542313,0.503357,0.416275,0.160540,0.287828,0.133247,0.545933,0.188999,0.386191,0.054362,0.327835,0.361014,0.437001,0.316128,0.304784,1.090972,1.050557,0.080660,0.350207,0.359662,0.404615,0.283677,0.156908,0.342894,0.654367,0.483582,0.536842,0.043963,0.346553,0.064728,0.394700,0.540962,0.250861,0.595358,0.414943,0.097501,0.358823,0.061682,0.223002,0.267791,0.058031,0.063311,0.052170,0.175051,0.368364,0.229330,0.061685,0.203635,0.527136,0.084812,0.084534,0.192413,0.235160,0.280811,0.193982,0.007253,0.046957,0.001426,0.000000,0.000266,0.064939,0.001375
adults60,1.320210,0.521089,0.482795,0.398441,0.149529,0.272920,0.122867,0.525922,0.177114,0.369530,0.048088,0.310812,0.343766,0.419144,0.299398,0.289463,1.070292,1.023047,0.073037,0.332784,0.342925,0.387690,0.268002,0.145843,0.326042,0.632421,0.463026,0.517114,0.038431,0.329618,0.057583,0.376534,0.521120,0.236681,0.574687,0.397587,0.088925,0.342591,0.054784,0.209231,0.252997,0.051492,0.056314,0.045970,0.163604,0.351344,0.216358,0.054817,0.191119,0.507227,0.076821,0.076432,0.180433,0.221590,0.265755,0.181856,0.005143,0.041195,0.000552,0.000266,0.000000,0.057868,0.000539
adults61,0.964147,0.274619,0.242866,0.203259,0.053637,0.099948,0.032567,0.300509,0.065754,0.193560,0.019909,0.109847,0.149634,0.226229,0.114621,0.129688,0.780746,0.691412,0.021740,0.126171,0.157557,0.175061,0.097511,0.047365,0.121237,0.378403,0.222519,0.294948,0.019677,0.124117,0.008611,0.173938,0.299247,0.074464,0.340933,0.206973,0.027367,0.169544,0.013079,0.064498,0.087899,0.012942,0.014287,0.014742,0.041116,0.167204,0.086288,0.013356,0.067634,0.279710,0.021336,0.017345,0.070067,0.086703,0.108649,0.069640,0.033508,0.016802,0.049925,0.064939,0.057868,0.000000,0.050688
adults62,1.286769,0.490832,0.456100,0.372049,0.133622,0.251810,0.108424,0.495676,0.159703,0.344159,0.039253,0.290536,0.320034,0.392201,0.277521,0.266992,1.043890,0.980548,0.062015,0.310860,0.318838,0.366545,0.246909,0.129909,0.304777,0.598909,0.435182,0.486883,0.030658,0.307626,0.048561,0.350559,0.490880,0.218284,0.542803,0.371135,0.076601,0.318108,0.045679,0.191195,0.233366,0.042473,0.046939,0.037392,0.149070,0.326514,0.197051,0.045482,0.173217,0.477483,0.065527,0.065414,0.162632,0.201996,0.244260,0.163871,0.002804,0.033229,0.000036,0.001375,0.000539,0.050688,0.000000