who, alg_name, alg_type, val,sd
monkeys,C[C(,Other,0.013782,0.009026
monkeys,OCOM,Other,0.017111,0.012769
monkeys,)O]O,Other,0.014584,0.009026
monkeys,][(),Other,0.015590,0.010036
monkeys,CC[(,Other,0.014187,0.009605
monkeys,])[(,Other,0.014488,0.009232
monkeys,OCCO,Other,0.014742,0.010519
monkeys,)]([,Other,0.015171,0.010680
monkeys,[C(M,Other,0.018465,0.012231
monkeys,])OO,Other,0.013205,0.008681
monkeys,()][,Other,0.031302,0.018282
monkeys,[)(],Other,0.018664,0.013207
monkeys,)[](,Other,0.013525,0.008672
monkeys,OO]),Crossing,0.019850,0.014321
monkeys,]([),Other,0.013906,0.008814
monkeys,)OO],Other,0.014361,0.009554
monkeys,C([M,Other,0.013994,0.010164
monkeys,OMCO,Other,0.016630,0.011334
monkeys,OOCM,Crossing,0.022959,0.016393
monkeys,([]),Recursive,0.017584,0.012342
monkeys,]O)O,Other,0.013926,0.009710
monkeys,])([,Other,0.013294,0.008874
monkeys,COOC,Other,0.016944,0.011048
monkeys,O]O),Other,0.015936,0.011609
monkeys,)(][,Other,0.014996,0.010357
monkeys,OO)],Crossing,0.025530,0.016870
monkeys,COCO,Other,0.015397,0.010485
monkeys,[](),Tail,0.028676,0.017546
monkeys,CCOO,Other,0.012978,0.008837
monkeys,[(CM,Crossing,0.025657,0.018658
monkeys,CC([,Other,0.015758,0.010213
monkeys,)([],Other,0.014412,0.009226
monkeys,)[(],Other,0.014384,0.009544
monkeys,[])(,Other,0.023184,0.013797
monkeys,OMOM,Tail,0.018601,0.012674
monkeys,OOMM,Recursive,0.018328,0.013715
monkeys,(CC[,Other,0.017508,0.011902
monkeys,][)(,Other,0.013430,0.009138
monkeys,(])[,Other,0.014358,0.009300
monkeys,[CC(,Other,0.015370,0.010334
monkeys,[(]),Other,0.028053,0.018272
monkeys,O)O],Other,0.025914,0.017115
monkeys,O)]O,Other,0.016463,0.012011
monkeys,C[(M,Other,0.013897,0.009588
monkeys,(C[M,Other,0.016731,0.011322
monkeys,)][(,Other,0.013773,0.009975
monkeys,([)],Other,0.019042,0.013686
monkeys,[()],Recursive,0.050637,0.025380
monkeys,O])O,Other,0.015032,0.009898
monkeys,()[],Tail,0.020235,0.013280
monkeys,]()[,Other,0.014117,0.009698
monkeys,(][),Other,0.013983,0.009052
monkeys,[)](,Other,0.014276,0.010272
monkeys,([CM,Crossing,0.016387,0.011691
monkeys,]OO),Other,0.012310,0.009000
monkeys,)]OO,Other,0.012359,0.008382
monkeys,C(C[,Other,0.014023,0.009065
kids,C[C(,Other,0.012734,0.005041
kids,OCOM,Other,0.014482,0.007339
kids,)O]O,Other,0.013010,0.005936
kids,][(),Other,0.010529,0.004459
kids,CC[(,Other,0.011523,0.005801
kids,])[(,Other,0.011832,0.005498
kids,OCCO,Other,0.011912,0.005886
kids,)]([,Other,0.012300,0.005368
kids,[C(M,Other,0.013184,0.005439
kids,])OO,Other,0.012180,0.005765
kids,()][,Other,0.018846,0.009224
kids,[)(],Other,0.014308,0.006696
kids,)[](,Other,0.011722,0.005143
kids,OO]),Crossing,0.029982,0.016720
kids,]([),Other,0.012376,0.005030
kids,)OO],Other,0.012745,0.006360
kids,C([M,Other,0.012905,0.006179
kids,OMCO,Other,0.015176,0.007813
kids,OOCM,Crossing,0.024079,0.016585
kids,([]),Recursive,0.076066,0.026919
kids,]O)O,Other,0.012724,0.006047
kids,])([,Other,0.013777,0.005445
kids,COOC,Other,0.011122,0.004730
kids,O]O),Other,0.014259,0.007561
kids,)(][,Other,0.014644,0.008021
kids,OO)],Crossing,0.026240,0.015318
kids,COCO,Other,0.012695,0.006193
kids,[](),Tail,0.015025,0.007598
kids,CCOO,Other,0.011830,0.005232
kids,[(CM,Crossing,0.024685,0.014335
kids,CC([,Other,0.013170,0.006355
kids,)([],Other,0.015570,0.007861
kids,)[(],Other,0.010673,0.004591
kids,[])(,Other,0.010889,0.005169
kids,OMOM,Tail,0.012515,0.006621
kids,OOMM,Recursive,0.052491,0.031345
kids,(CC[,Other,0.012466,0.006968
kids,][)(,Other,0.012418,0.005652
kids,(])[,Other,0.014724,0.008140
kids,[CC(,Other,0.011703,0.005199
kids,[(]),Other,0.018267,0.010585
kids,O)O],Other,0.014895,0.007091
kids,O)]O,Other,0.012641,0.007070
kids,C[(M,Other,0.011126,0.004606
kids,(C[M,Other,0.013680,0.007653
kids,)][(,Other,0.011361,0.005190
kids,([)],Other,0.019977,0.011305
kids,[()],Recursive,0.088273,0.030077
kids,O])O,Other,0.011731,0.006033
kids,()[],Tail,0.016475,0.009091
kids,]()[,Other,0.013274,0.006049
kids,(][),Other,0.012891,0.006593
kids,[)](,Other,0.012401,0.005965
kids,([CM,Crossing,0.031891,0.021389
kids,]OO),Other,0.010995,0.005204
kids,)]OO,Other,0.010089,0.004581
kids,C(C[,Other,0.014521,0.006410
tsimane,C[C(,Other,0.009268,0.003962
tsimane,OCOM,Other,0.013030,0.006808
tsimane,)O]O,Other,0.010898,0.004451
tsimane,][(),Other,0.009406,0.005159
tsimane,CC[(,Other,0.009798,0.004372
tsimane,])[(,Other,0.009202,0.004319
tsimane,OCCO,Other,0.010209,0.004859
tsimane,)]([,Other,0.007620,0.003451
tsimane,[C(M,Other,0.010953,0.005114
tsimane,])OO,Other,0.009451,0.004391
tsimane,()][,Other,0.009305,0.004075
tsimane,[)(],Other,0.015695,0.007249
tsimane,)[](,Other,0.008989,0.003894
tsimane,OO]),Crossing,0.030181,0.014531
tsimane,]([),Other,0.010844,0.004656
tsimane,)OO],Other,0.010078,0.004516
tsimane,C([M,Other,0.008102,0.003789
tsimane,OMCO,Other,0.011802,0.005725
tsimane,OOCM,Crossing,0.014235,0.011754
tsimane,([]),Recursive,0.253738,0.036636
tsimane,]O)O,Other,0.009520,0.004431
tsimane,])([,Other,0.010510,0.005015
tsimane,COOC,Other,0.007240,0.003096
tsimane,O]O),Other,0.008747,0.005715
tsimane,)(][,Other,0.008338,0.003471
tsimane,OO)],Crossing,0.031727,0.018514
tsimane,COCO,Other,0.009342,0.004071
tsimane,[](),Tail,0.011720,0.005951
tsimane,CCOO,Other,0.008146,0.003549
tsimane,[(CM,Crossing,0.032968,0.016009
tsimane,CC([,Other,0.010311,0.004914
tsimane,)([],Other,0.009559,0.004815
tsimane,)[(],Other,0.008897,0.004614
tsimane,[])(,Other,0.010203,0.004227
tsimane,OMOM,Tail,0.009482,0.004465
tsimane,OOMM,Recursive,0.027468,0.014635
tsimane,(CC[,Other,0.008063,0.003979
tsimane,][)(,Other,0.011038,0.005917
tsimane,(])[,Other,0.008237,0.003552
tsimane,[CC(,Other,0.011279,0.004771
tsimane,[(]),Other,0.021114,0.011310
tsimane,O)O],Other,0.012539,0.006958
tsimane,O)]O,Other,0.009828,0.004611
tsimane,C[(M,Other,0.009446,0.005106
tsimane,(C[M,Other,0.011741,0.006609
tsimane,)][(,Other,0.008717,0.004360
tsimane,([)],Other,0.060555,0.021259
tsimane,[()],Recursive,0.040178,0.022262
tsimane,O])O,Other,0.010950,0.005529
tsimane,()[],Tail,0.009433,0.004617
tsimane,]()[,Other,0.009374,0.004502
tsimane,(][),Other,0.013266,0.007332
tsimane,[)](,Other,0.007131,0.003042
tsimane,([CM,Crossing,0.022637,0.016949
tsimane,]OO),Other,0.009237,0.004454
tsimane,)]OO,Other,0.008067,0.004671
tsimane,C(C[,Other,0.010190,0.003704
